id;nome;desempenho;desempenho_mes;desempenho_ano;desempenho_total;esporte;horarios;nr_tips_dia;data
1;Human Tools Direct;12689;25524;14371;97058;Integration grey;Designer;41054;2021-01-18T16:13:28
2;connecting Michigan;93874;9224;29276;81685;Small Wooden Bike;24/7 Persistent;39930;2021-01-18T17:23:14
3;flexibility deposit;77197;35173;29487;29094;models Fantastic Strategist;Handcrafted digital;35235;2021-01-18T16:59:45
4;mindshare Montana;23719;90760;19871;44474;Freeway;Program Massachusetts;24986;2021-01-18T07:40:40
5;Wisconsin Auto Loan Account methodology;35461;67413;34442;31221;Avon Chief virtual;Assistant Investment Account;76636;2021-01-17T20:41:40
6;Sleek;6570;57246;96190;27717;Borders Shoal local;redefine Yemen Wooden;16842;2021-01-18T12:04:41
7;Personal Loan Account Handcrafted Fresh Hat payment;63657;70701;1714;61815;payment best-of-breed Interactions;Licensed Interactions;43780;2021-01-18T14:01:08
8;regional;72006;81048;39477;4048;Fish California;Principal;80074;2021-01-18T02:56:00
9;Auto Loan Account gold;84124;79793;78123;91497;Thailand Personal Loan Account ubiquitous;Gorgeous Concrete Cheese;29006;2021-01-17T22:29:24
10;overriding;5822;36988;13783;81040;Wooden Bedfordshire Virtual;utilize Avon extranet;68118;2021-01-18T04:58:44
